Title,cleaned_text,Bias
Biden Commutes Sentence Of Yet Another Convicted Cop Killer On His Way Out The Door," In the final minutes of his presidency, former President Joe Biden commuted the sentence of a Native American activist who killed two FBI agents, according to the White House. Biden commuted 80-year-old Leonard Peltier's life sentence on Monday at the same time he extended preemptive pardons to his family members. ""This commutation will enable Mr. Peltier to spend his remaining days in home confinement but will not pardon him for his underlying crimes,"" the White House announced, noting that Peltier ""suffers from severe health ailments, and has spent the majority of his life (nearly half a century) in prison."" ""Mr. Peltier is a Native American activist who is currently serving life in prison for killing two FBI agents on the Pine Ridge Indian Reservation and escaping from federal prison. Tribal Nations, Nobel Peace laureates, former law enforcement officials (including the former U.S. Attorney whose office oversaw Mr. Peltier's prosecution and appeal), dozens of lawmakers, and human rights organizations strongly support granting Mr. Peltier clemency, citing his advanced age, illnesses, his close ties to and leadership in the Native American community, and the substantial length of time he has already spent in prison,"" the White House announced. Thirty-four Democratic members of Congress pushed Biden to grant Peltier clemency in December, citing former U.S. Attorney James Reynolds' statement that Peltier served his sentence ""on the basis of minimal evidence, a result that [he] strongly doubt[s] would be upheld in any court today."" Former FBI Director Christopher Wray wrote in June that releasing Peltier would ""represent an affront to the rule of law."" ""Over the past 45 years, no fewer than 22 federal judges have evaluated the evidence and considered Peltier's legal arguments,"" Wray wrote. ""Each has reached the same conclusion: Peltier's claims are meritless, and his convictions and sentence must stand."" Biden also pardoned his brothers, who were connected to his son Hunter Biden's business dealings overseas, as well as other family members on Monday. On Friday, Biden commuted sentences for 2,500 individuals, including a cop killer and other dangerous criminals. Virginia Attorney General Jason Miyares wrote that Biden should be ""ashamed"" of his decision to commute sentences for Ferrone Claiborne and Terence Richardson, whose attack on an officer in 1998 led to his death. The officer's daughter, Crissana Gibson, said she was ""shattered"" knowing these men can now ""walk the streets freely."" Days before Christmas, Biden commuted death sentences for 37 inmates on death row, including a man who murdered an Ohio police officer. Marissa Gibson, widow of murdered officer Bryan Hurst, called Biden's decision ""a complete dismissal and undermining of the federal justice system."" All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter's byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",lean right
Marco Rubio confirmed as Trump's secretary of state by Senate,"Confirmations don't come easier than this. The Senate approved the nomination of Sen. Marco Rubio (R-Fla.) to be secretary of state 99-0 Monday, hours after President Trump took the oath of office in the Capitol Rotunda. Rubio, 53, is the first Latino to serve as America's top diplomat and brings extensive foreign policy experience to the job, having served on both the Senate Foreign Relations Committee and as vice chair of the Senate Intelligence Committee. ""No one on this body can doubt that Marco Rubio is an intelligent man with remarkable understanding of American foreign policy and a very deep commitment to the American dream,"" Sen. Chuck Grassley (R-Iowa) said in remarks on the Senate floor supporting Rubio's confirmation.  Democratic New Jersey Sen. Andy Kim noted that despite having ""areas of disagreement"" with Rubio, he found the former senator to be ""well versed"" and worthy of the role.  ""Senator Rubio's qualifications and dedication to serving our country has earned him my vote to be our next Secretary of State,"" Kim said in a statement.  ""In my conversations with Senator Rubio, we had areas of disagreement no doubt, but I found him to be well versed in the deep challenges our nation faces globally,"" he added.  Rubio, the son of exiles from communist Cuba, argued that China is the ""biggest threat"" to American prosperity during his confirmation hearing last week.  ""If we don't change course, we are going to live in the world where much of what matters to us on a daily basis from our security to our health will be dependent on whether the Chinese allow us to have it or not,"" Rubio told the Senate Foreign Relations Committee. During the hearing, Rubio also affirmed the value of NATO, which Trump has repeatedly criticized, as a ""very important alliance"" and argued that the  Russia-Ukraine war ""should be brought to an end.""  ""There's no way Ukraine is also going to push these people all the way back to where they were on the eve of the invasion, just given the size dynamic,"" Rubio said, calling for the US to have a ""realistic"" vision for how the bloody conflict should end.  The president and secretary of state are former political rivals, both men having sought the 2016 Republican nomination. During that campaign, Trump branded Rubio ""Little Marco,"" while the Floridian made a suggestive dig about the purported size of his rival's hands.  However, the two men have mended fences, with Rubio emerging as the most credible spokesman for Trump's foreign policy vision - including calling last week during his confirmation hearing for an end to the Russia-Ukraine war. The secretary of state position is the third highest-ranking position in the executive branch after the president and vice president. What do you think? Post a comment. The role is also fourth in the line of succession to serve as president, after the speaker of the House. Rubio will be succeeded in the Senate by Florida Attorney General Ashley Moody, whose appointment was announced last week by Republican Gov. Ron DeSantis.  This is a developing story. Please check back for more updates.",lean right
Texas has a powerful new House speaker in a blow to the GOP's hard right,"A push by Texas' hard right to widen control in the state Capitol fell short Tuesday after House lawmakers rejected its choice for the powerful speakership amid a Republican feud accelerated by the historic impeachment of Attorney General Ken Paxton. Instead, new House Speaker Dustin Burrows won the job with the support of Democrats, who favored him over a challenger backed by the GOP's emboldened right. The outcome is a victory for Texas' shrinking establishment wing, though it's possible that Burrows could still lose influence in the coming months. The race deepened divisions within the GOP, partly driven by Republicans who say an agenda that includes some of the toughest laws in the U.S. over abortion and immigration doesn't go far enough. ""He's a leader who will at least have a conversation,"" Democratic state Rep. Toni Rose said in a nomination speech for Burrows. Burrows was challenged by state Rep. David Cook, who pledged to block Democrats from running committees in the House - a longstanding bipartisan tradition in a chamber that has historically been a more moderate balance to the hard-right-leaning Senate. Burrows will lead one of the state's highest offices after a dramatic bowing-out of the former House speaker, Dade Phelan, who lost favor with the hard-right faction of his party after Paxton's impeachment. The state Senate ultimately acquitted Paxton, who in recent weeks campaigned against Republicans who sought to deny Cook's victory.  The newly elected speaker has few ideological distinctions between himself and Cook, but his opponent came to be the choice of some Republicans who believe Democrats have too much control over the House. The House's failure to approve taxpayer funds for private schools in 2023 also intensified Republican squabbles in the run-up to November's elections, when Republicans expanded their already commanding majority and gained ground on the U.S.-Mexico border. Texas in recent years has passed some of 's toughest restrictions on abortion, immigration and voting. Republicans this year have proposed bans on public funds for gender-affirming care for adults and giving in-state college tuition for students without legal status in the U.S. Lathan is a corps member for the Associated Press/Report for America Statehouse News Initiative. Report for America is a nonprofit national service program that places journalists in local newsrooms to report on undercovered issues.",left
Authorities ramp up efforts to protect sea turtles as deaths on India's shores continue to mount,"BENGALURU, India (AP) - Dead sea turtles keep washing ashore on India's east coast and environmentalists and authorities are trying frantically to stop the number of 600 dead from getting even higher. The high number of turtle deaths in Chennai in southern India is most likely due to overfishing just off the coast that may be accidentally trapping the turtles in nets, experts say, sparking discussion and anger in the region over how the deaths could be avoided. But fishers say that tougher conditions - from warmer waters to higher operating costs - has forced them into a corner. Government officials on and off the coast say they have intensified their monitoring of illegal fishing since high amounts of dead turtles started washing up onshore. It's the biggest number of sea turtle deaths since 2014, when over 900 olive ridley turtles were found dead on India's southern shores. People look at the carcass of an endangered Olive Ridley turtle washed ashore at Marina beach in Chennai, India, Wednesday, Jan.22, 2025. (AP Photo/Mahesh Kumar A.) Fishers in the city say that rough winds and turbulent waters have made it more expensive and difficult to travel too far off the coast. ""With increasing fuel costs, we have to spend close to 500,000 rupees ($5,784) every time we send our trawl boats out,"" said M.E. Raghupathi, a resident of Chennai who has been in the fishing business for 52 years. ""We worship turtles and it pains us too that so many are dying, but we need to provide for our families too,"" he said. Raghupathi, who was formerly the president of a statewide trawl boat association, said that the technology used in the boats and the nets were designed by government-backed research organizations. But those designs have not been upgraded since the 1960s.  ""We will be happy to use any new technology that can help prevent these turtle deaths if they are provided to us,"" he said. Another fisher, K. Bharathi, said that the fish in this region of the Bay of Bengal have dwindled exponentially in the last few decades due to warming water because of climate change and excessive fishing. ""The fish that we used to see here 25 years ago are not there anymore, this is the primary reason why even big trawl boats are coming to areas where they shouldn't,"" he said. ""Measures to increase fish resources like setting up artificial coral reefs can help avoid this competition and also indirectly help protect turtles."" Multiple studies by climate scientists have found that the risks of more intense, unpredictable and frequent cyclones have increased along India's coastline as a result of global warming. A boy pulls a carcass of an endangered Olive Ridley turtle washed ashore at Marina beach in Chennai, India, Wednesday, Jan.22, 2025. (AP Photo/Mahesh Kumar A.) A local government order was passed in 2016 to stop trawl boats from casting giant nets that sweep up everything on the ocean floor from getting within five nautical miles of the coastline during turtle nesting season. The law also mandates devices known as turtle excluder devices, that can help turtles escape nets. And government officials on and off the coast have intensified turtle protection activities in recent weeks, said Manish Meena, the city's wildlife warden. ""We are all on high alert and we're also trying to sensitize fishers so they release any turtles that they find caught in their nets. All government agencies are on board and are trying to work together to deal with this situation,"" he said. Meena said authorities are also encouraging the use of turtle excluder devices, made of metal bars or mesh and fitted into the neck of a trawl boat's net. But Raghupathi said that fish can also escape when they devices are installed on nets, making them economical. ""There needs to be other solutions like installing cameras in our nets or something else which doesn't compromise our already decreasing fish catch,"" he said. Following media reports on the turtle deaths, India's National Green Tribunal, the country's highest court for environmental issues, has threatened a complete ban on fishing during turtle nesting season if fishing regulations are not complied with immediately. People look at the carcass of an endangered Olive Ridley turtle washed ashore at Marina beach in Chennai, India, Wednesday, Jan.22, 2025. (AP Photo/Mahesh Kumar A.) Olive ridley turtles are considered a vulnerable species as they lose their habitats, are subject to marine pollution and can get trapped in fishing nets. As their eggs need two months to hatch - like most sea turtle species - they're also threatened by increased land activity on beaches and coastlines, warmer temperatures and light pollution that can disorient infant turtles. Over 500,000 turtles nest every year on beaches further up India's east coast in Odisha state - a mass nesting phenomenon that turtle conservationists call Arribada. But only one in about 1,000 turtle hatchlings survive to adulthood. Supraja Dharini, founder of Tree Foundation, a turtle conservation organization, said turtle conservation can work along fishing practices, as long as they are sustainable. ""What is good for small, artisanal fishers is usually good for the turtles too,"" she said. Follow Sibi Arasu on X at @sibi123 The Associated Press' climate and environmental coverage receives financial support from multiple private foundations. AP is solely responsible for all content. Find AP's standards for working with philanthropies, a list of supporters and funded coverage areas at AP.org.",left
GOP-led states are emboldened to keep rolling back trans rights. Democrats struggle with a response,"TOPEKA, Kan. (AP) - Republicans and Democrats in Kansas agree that concerns about the economy drove voters to support President Donald Trump by a 16% margin. They also know that ads from Trump and others targeting transgender rights resonated with voters. So while Kansas Republicans say property tax cuts are their top priority, they also are pushing to ban gender-affirming care for young people, including puberty blockers, hormones and, even though they are rare for minors, surgeries. They say that, too, resonates strongly with voters. ""It carries so much more emotional weight,"" said Republican state Rep. Ron Bryce, a doctor from southeastern Kansas. ""We're talking about children and our future."" As lawmakers have gone into session in many states, Republicans are broadly emboldened by GOP electoral successes to continue pushing state-level bills to curtail transgender rights. As was the case in 2023 and 2024, dozens of bills are pending in mostly red-state legislatures aimed at issues such as which bathroom transgender people can use in public buildings, whether transgender people can use their gender identity on their driver's licenses and whether transgender girls can play on girls sports teams. In Texas alone, Republicans have filed more than 30 measures. Democrats are reckoning with voter backlash while not abandoning what they see as a civil rights issue.  Kansas state Rep. John Carmichael, a Wichita Democrat, said it's hard to conclude that Kansas voters favor transgender rights after Republicans picked up three state House seats and two state Senate seats. Republicans in the state think they'll be able to ban gender-affirming care for young people this year after previously failing because the added Republican members will allow them to override a veto from Democratic Gov. Laura Kelly.  ""Transgender people are going to be facing discrimination at the national level for four years,"" Carmichael said Tuesday. ""I'm sure that some of my colleagues in the Kansas Legislature will try to find a way to one-up even what Donald Trump is doing."" Trump, who made anti-transgender themes central to his campaign, signed executive orders on his first day in office Monday declaring that the federal government would recognize only two sexes: male and female. Federal prisons and shelters for migrants and rape survivors will be segregated by sex as defined by the order, and federal taxpayer money will not be able to be used to fund ""transition services,"" which would appear to cover people incarcerated in federal prisons. In the U.S., about 300,000 youths ages 13 to 17, or 1.4%, are transgender, according to estimates by the Williams Institute, an LGBTQ+ research center at the UCLA School of Law. Among adults, the figure is 0.5%, for 1.3 million transgender Americans who are 18 or older. At the state level, legislators anticipate a U.S. Supreme Court ruling that bans on gender-affirming care are constitutional. The court heard arguments in December on a Tennessee law that prohibits gender-affirming care for minors. The justices appeared likely to uphold the law, though a ruling isn't expected until the summer. About half of voters in the 2024 election said support for transgender rights in government and society has gone too far, while about 2 in 10 said it's been about right, and a similar share said it hasn't gone far enough, according to AP VoteCast. Voters were split on at least one specific proposal. AP VoteCast found that slightly more than half of voters opposed laws that ban gender-affirming medical treatment, such as puberty blockers and hormone therapy, for transgender minors, while a little under half were in favor. At least 26 states have banned or restricted gender-affirming care for people under 18. Harleigh Walker, a transgender 17-year-old high school senior in Alabama where the care is banned, said it's astounding that states are considering legislation that harms constituents like her. She said she's likely to leave the South for college, and her family is also considering moving. ""We're not hurting anyone,"" Walker said in a telephone interview. ""Our existence and our right to healthcare, bathroom use, et cetera, it's not hurting anyone."" Every major U.S. medical group, including the American Medical Association, has opposed the bans and said gender-affirming treatments can be medically necessary and are supported by evidence. Doctors, parents and young people have said such care reduces depression and suicidal thoughts in transgender youths. Conservatives nonetheless often describe the care as potentially harmful. Kansas House Speaker Dan Hawkins said lawmakers are trying to protect young people. ""Children under the age of 18 are not equipped with the knowledge or maturity to make a decision that permanently affects the rest of their lives,"" he said in a newsletter earlier this month. LGBTQ+ rights advocates fear the next step is restrictions on care for adults. Florida is the only state that has done that, through there have been proposals in at least two other states. Mo Jenkins, a 25-year-old transgender woman who ran unsuccessfully for a Texas House seat in Houston last year, described the possibility as terrifying. Her state banned gender-affirming care for minors in 2023. ""It was never going to stop with children,"" she said. The discussions among Democrats in red or swing states reflect the memory of Trump ads that blasted their presidential nominee, Vice President Kamala Harris, as being ""for they/them"" while ""President Trump is for you."" Democratic Kansas state Sen. Cindy Holscher focused her reelection campaign in affluent Kansas City suburbs on education and taxes, capturing 61% of the vote. ""Democrats have a tendency to want to lean on those social issues, but they aren't necessarily winning issues,"" she said. Holscher, Carmichael and other Democrats say they will still oppose measures restricting transgender rights. ""Civil rights are in the DNA of Democrats,"" said Joan Wagnon, a former Kansas Democratic Party chair, state lawmaker and Topeka mayor. DeMillo reported from Little Rock, Arkansas, and Lathan reported from Austin, Texas. Associated Press writer Kimberly Chandler in Montgomery, Alabama, contributed to this report.",left
Senate confirms Kristi Noem as Trump's Secretary of Homeland Security,"Secretary of the Department of Homeland Security nominee Kristi Noem arrives for the inauguration of U.S. President-elect Donald Trump in the U.S. Capitol Rotunda on Jan. 20, 2025 in Washington, DC. The Senate confirmed South Dakota Gov. Kristi Noem on Saturday to serve as the Secretary of Homeland Security, putting her in charge of executing one of President Trump's biggest priorities in his second term: cracking down on immigration. Noem, a Republican, won confirmation in a 59-34 vote. She becomes the fourth person confirmed in Trump's cabinet, following Secretary of State Marco Rubio, CIA Director John Ratcliffe, and Pete Hegseth, who was narrowly appointed Secretary of Defense on Friday night after Vice President J.D. Vance cast a tie-breaking vote. Noem is set to lead the department poised to be at the center of President Trump's plans to crack down on immigration, including the various deportation efforts, visa changes and border security measures kicked off by the slew of executive actions signed by Trump since his return to office. Noem, 53, has been a vocal advocate for Trump's immigration agenda, as she explained to senators during her confirmation hearing. ""The reason that I asked for it is because I knew it was the president's number one priority,"" Noem told the Senate Homeland Security and Governmental Affairs Committee, about why she is best for the role. ""I knew that it would be needed to have someone in the position, that would do what the president promised the American people and would be strong enough to do it,"" she said. During her confirmation hearing, Noem said she would partner with Trump to reinstate the ""Remain in Mexico"" policy, also known as the Migrant Protection Protocols, which would require certain asylum seekers to wait in Mexico until their court hearing dates in the U.S., in an effort to limit the number of people waiting inside U.S. borders. Noem also vowed to shut down the CPB One App, an app used by asylum seekers to petition for asylum with U.S. Customs and Border Protection. DHS cancelled all appointments within hours of Trump's inauguration. She has expressed support for ending birthright citizenship, which President Trump is seeking to do through an executive action. Legal experts broadly agree the president does not have the authority to revoke birthright citizenship through executive action, but rather doing so would require amending the Constitution. A U.S. judge has already temporarily blocked the order, calling it ""blatantly unconstitutional."" Noem is expected to work to implement immigration policy set by Tom Homan, whom Trump has picked to serve as his ""border czar,"" and Stephen Miller, deputy chief or staff and a key architect of the president's immigration agenda. She is also likely to work with Hegseth, as several of Trump's executive actions involve military assistance to DHS for repatriation flights, building barriers at the southern border and more. Noem will oversee more than 260,000 federal employees. In addition to overseeing agencies that deal with immigration and responding to natural disasters, Homeland Security works with 's intelligence agencies to prevent terrorist threats. Following Saturday's confirmation vote, Noem officially resigned as South Dakota governor, according to a statement. Lt. Gov. Larry Rhoden succeeds her in the state's top post.",lean left
'Utterly inadequate': Conservative warns Trump 'major war' is looming - and he's not ready,"President-elect Donald Trump is taking over the ""staggering challenge"" of a military that is unprepared to fight America's enemies, conservative analyst Max Boot wrote for The Washington Post - and worse still, he has nominated a man to lead it who doesn't understand why. This comes as Trump's pick to lead the Department of Defense, Fox News personality Pete Hegseth, has come under fire for his history of alleged sexual misconduct, heavy drinking, and advocacy to pardon war criminals - and it also comes as Trump refuses to rule out using military force to seize territories like Greenland and the Panama Canal Zone as part of a neo-imperialist project. But the military is not even prepared to perform its basic defense duties right now, wrote Boot, let alone engage in wars of aggression and conquest. The video player is currently playing an ad.  ""The essential question that senators must ask is whether Hegseth, a Fox News host and former National Guardsman, has the capacity and experience to prepare the armed forces to fight a major war - and, if so, how he would go about it,"" wrote Boot. ""Because right now, the U.S. military simply is not ready to defeat an adversary such as China or Russia in a protracted conflict."" ALSO READ: Trump intel advisor Devin Nunes still dismisses Russian election meddling as a 'hoax' Hegseth has repeatedly claimed the military is failing to meet its recruitment goals due to ""wokeness"" and commitments to diversity alienating the type of masculine soldier stock America once relied on - but that completely misunderstands the issue, wrote Boot: the real problem ""is that America became complacent after the Cold War when it downsized its armed forces and its defense-industrial base. Since then, the United States has prepared a military suitable for fighting insurgents in Afghanistan or Iraq - but utterly inadequate for an extended fight against a major power."" Today, Boot wrote, we're facing a military that has a degraded ability to construct and service its own ships, a massive shortage of drones, and a lack of infrastructure or institutional knowledge to fix these problems - and despite common complaints about how much money is spent on the military, ""While high in absolute terms, U.S. defense spending is just 3 percent of gross domestic product, far below Cold War levels."" ""Now it will be up to senators to decide if Hegseth - who was dogged by accusations of mismanagement and misconduct at the two nonprofits he ran - is the right person to rebuild America's atrophied defense capabilities,"" Boot concluded. ""The committee members should grill him not only about his past, but also about his plans to address this massive challenge. His record doesn't inspire confidence that he can rise to a task that would severely test far more experienced executives.""",left
Trump's Obsession With DEI Just Reached A Whole New Level,"President Donald Trump on Tuesday appointed Andrea Lucas to be the acting chair of the Equal Employment Opportunity Commission, and Lucas immediately pledged to crack down on ""DEI-related discrimination."" The agency, which was created by the Civil Rights Act of 1964, is responsible for protecting workers against discrimination based on a myriad of traits, including race, sex, national origin, age and disability. Under the Biden administration, sex discrimination was expanded to include pregnancy status and gender identity. Over the last 60 years, the EEOC has filed thousands of discrimination lawsuits against employers. In its first days, the Trump administration has been on a tear dismantling the government's diversity, equity and inclusion programs. Trump signed an executive order that bans the federal government from DEI practices like equity initiatives or environmental justice efforts, and also announced that he would fire federal workers whose job titles include ""DEI."" Lucas' appointment to run the EEOC fits in with the administration's anti-DEI stance - and would extend that mindset beyond the federal government and its workers. ""In recent years, this agency has remained silent in the face of multiple forms of widespread, overt discrimination,"" Lucas said in a press release announcing her new role. ""Consistent with the President's Executive Orders and priorities, my priorities will include rooting out unlawful DEI-motivated race and sex discrimination; protecting American workers from anti-American national origin discrimination; defending the biological and binary reality of sex and related rights, including women's rights to single-sex spaces at work; protecting workers from religious bias and harassment, including antisemitism; and remedying other areas of recent under-enforcement."" Liz Theran, the senior director of litigation for education and workplace justice at the National Women's Law Center, told  that the types of ""discrimination"" Lucas called out give an ominous view of the EEOC's goals. ""It's obviously an oblique reference to this boogeyman of anti-majority discrimination,"" Theran said. ""How many people are experiencing discrimination at work for being American? It's a dogwhistle for the far-right base."" ""Trump's agenda for the EEOC is dangerous and anti-worker,"" she added. Lucas has been appointed to a six-month term, and she would then need to be renewed through a Senate confirmation process, according to The Washington Post. The EEOC did not respond to 's request for comment. Theran, who served assistant general counsel at the EEOC for two decades, including during Trump's first term, said one issue stands out this time: ""[The] administration's attempt to weaponize the EEOC on behalf of the majority is front and center."" Republicans have become obsessed with DEI, saying that programs that seek to make society inclusive for people of color, women, veterans, and the LGBTQ+ community unfairly harm other groups, like white men, or force companies and agencies to hire unqualified people. They have twisted the meaning of the acronym that it now serves as a derogatory term for any member of a minority in a position of power. ""DEI hires"" have been to blame for everything from plane accidents to the deadly wildfires in Los Angeles, according to some on the right. Project 2025, the sweeping federal government playbook created by the Heritage Foundation, a conservative think tank, appears to have influenced this new vision for the EEOC. The authors claim that the Obama and Biden administrations unfairly discriminated against conservative and religious workers, and call for the agency to ""reorient"" its goals toward accommodating discrimination claims based on disability, religion, and pregnancy. (It does, however, explicitly say protections should not be offered to workers who need abortion.) These shifting priorities signal that not only does the Trump administration want to allow employers to discriminate against racial minorities and LGBTQ+ populations, but they want groups that have not been historically discriminated against, like white men, to be able to make claims of discrimination based on their identities. Donald Trump has reclaimed the most powerful seat in our nation's government.  will continue to fearlessly report on the new administration - but we need your help. We believe critical news about this new administration should be available to everyone. Join us to protect .     Already contributed? Log in to hide these messages. ""This is a blatant attempt to close the door on historically disadvantaged workers and pull the ladder up behind them,"" Theran said.",left
New York Times sets high bar for derangement by suggesting Trump's 'terrorist' label for cartels could hurt economy,"Mexican drug cartels are responsible for the untimely deaths of hundreds of thousands of people over the past two decades. When factoring in the fentanyl they smuggle into the United States, the cartels are also culpable for the deaths of over 200 Americans a day. In addition to dealing in murder and addiction, they routinely engage in mass kidnappings, rape, torture, and political intimidation. Evidently keen for a change, President Donald Trump issued an executive order on Monday setting the stage for Mexican cartels as well as other criminal gangs operating in the Western hemisphere, including MS-13, to be designated foreign terrorist organizations. The New York Times, afforded an opportunity with a new year and a new administration to embrace common sense, instead reverted to its old ways on Wednesday, concern-mongering about the economic impact of Trump's plan to identify and hold terrorists accountable. The piece in the Times - a paper compromised by the CIA during the Cold War, reflexively willing to print Hamas propaganda, and instrumental in recent Democratic attacks on conservative Supreme Court justices - stated at the outset that ""President Trump's executive order designating Mexican cartels and other criminal organizations as foreign terrorists could force some American companies to forgo doing business in Mexico rather than risk U.S. sanctions.""   Maria Abi-Habib and Simon Romero of the Times, both based in Mexico City, suggested that American companies fearing sanctions might think twice about doing business south of the border, especially with terrorists involved at various levels in supposedly legal industries, ""from avocado farming to the country's billion-dollar tourism industry."" The terrorist designation will make it easier to prosecute businesses and individuals suspecting of aiding the cartels, which could come down to transferring money to a compromised Mexican entity. Fabian Teichmann, an expert on terrorist financing, told the Times that banks might be among the organizations that will ultimately decide it's no longer worth doing business with potential cartel members. ""Banks might say, 'We don't want to be anywhere close to those who are considered to be terrorists, so we want to avoid that risk,'"" said Teichmann. ""From a banking perspective, that will be a very reasonable decision."" 'The Cartels' activities threaten the safety of the American people, the security of the United States, and the stability of the international order.' There are, of course, steps businesses can take to avoid working with terrorists. The American firm FTI Consulting noted in a recent report that ""the potential FTO designations underscore the urgent need for heightened due diligence when engaging with third parties."" ""Recommended actions include conducting thorough background checks on potential partners, suppliers, employees and clients to ensure no direct or indirect connections to criminal organizations,"" continued the report. ""Risk assessments of third parties should include close monitoring of changes in ownership, financial health and legal standing. Enhanced due diligence also requires regular updates to internal databases, cross-referencing with OFAC and other international sanctions lists, and utilizing advanced screening tools for continuous monitoring."" Whereas the FTI report, which was cited in the Times report, made clear there are possible steps corporations could take to ensure they're not getting into bed with killers, Abi-Habib and Romero nevertheless cast doubt on the possibility of identifying businesses devoid of cartel links, insinuating that the greater risk is not Americans going into business with mass-murdering rapists and drug traffickers but what might happen economically if they took the higher ground. The Times, which failed to consider potential gains from Trump's EO such as fewer terrorists and a check on the opioid crisis that cost the U.S. an estimated $1.5 trillion in 2020 alone, suggested that the terrorist designation might lead to American companies having to wean off Mexican labor; a loss to the Mexican economy in the form of reduced remittances, in which  received $63.3 billion in 2023; and unilateral American military strikes on terrorists and terrorist facilities. Trump, who has a mandate to do things the New York Times does not like, has a different set of concerns. ""The Cartels' activities threaten the safety of the American people, the security of the United States, and the stability of the international order in the Western Hemisphere,"" he stated in his executive order Monday. ""Their activities, proximity to, and incursions into the physical territory of the United States pose an unacceptable national security risk to the United States."" 'Journalists at the New York Times get together in an editorial meeting and actually come up with this s**t.' ""It is the policy of the United States to ensure the total elimination of these organizations' presence in the United States and their ability to threaten the territory, safety, and security of the United States through their extraterritorial command-and-control structures, thereby protecting the American people and the territorial integrity of the United States,"" added the president. Regarding the Times article, Utah Sen. Mike Lee (R) wrote, ""The New York Times publishes its own version of 'abrazos no balazos' - 'hugs not bullets' - a term popularized by former Mexican President Andres Manuel Lopez-Obrador, calling for gentle treatment of drug cartels."" ""That was a bad strategy for Mexico,"" Lee continued. ""It'll fare no better in the U.S."" ""Of course it is the New York Times concocting this framing,"" tweeted Florida Gov. Ron DeSantis (R). Stephen Miller, contributing editor at the Spectator, wrote, ""A room full of journalists at the New York Times get together in an editorial meeting and actually come up with this s**t and publish it. There's not a single person in the room who goes hey wait a second."" Like Blaze News? Bypass the censors, sign up for our newsletters, and get stories like this direct to your inbox. Sign up here!",right
Hochul quiet on increased penalties for mask-donning criminals as pols make another push,"New York lawmakers are set to weigh a bill that would increase penalties for mask-wearing creeps even as Gov. Kathy Hochul appears to have abandoned the effort she'd backed as the city saw a wave of antisemitic incidents last year. Despite lip service about bringing back a pre-covid ban last year as masked antisemitic thugs were anonymously threatening Jews, any mention of masks was conspicuously absent from Hochul's state of the state and budget addresses - major signals about her policy agenda for the year. ""I have said I would consider language that says if you commit a crime while wearing a mask, there should be enhanced penalties and the process is not over yet,"" Hochul told reporters last week asked about the topic of masks being absent from her state of the state agenda. The newly reintroduced bill is not a straight up ban on mask wearing, but would create the low level crime of ""masked harassment"". The violation-level penalty would specifically target someone who harasses another while wearing a mask for the ""primary purpose of menacing or threatening violence."" It would also add mask-wearing as a potential criteria for an escalated penalty of ""aggravated harassment,"" where a masked person physically attacks another. Both penalties include well-outlined exceptions for medical and religious purposes as well as holidays, performing arts, sporting competitions, someone's professional occupation like a welder wearing a welding mask. ""This legislation is overdue and needed ASAP,"" Assemblymember Jeffrey Dinowitz (D-Bronx), the bill's assembly sponsor, wrote. While pols have been calling for a straight up ban on masks to be reimplemented since it was lifted during the pandemic, those calls have grown louder after a wave of antisemitic incidents following the Oct. 7 2023 attack on Israel. ""It is critical that this public safety measure passes to protect all New Yorkers and stop the epidemic of individuals using masks and face coverings to evade any consequences for harassing and menacing others,"" State Senator James Skoufis (D-Orange), the bill's sponsor in the legislature's upper chamber said. Skoufis and Dinowitz are also touting the support from lefty Manhattan District Attorney Alvin Bragg who called the legislation ""strong and fair."" Richmond County District Attorney Michael McMahon, who is also president of the District Attorneys Association of the State of New York, agreed. ""When masks are used during the commission of crimes it impedes law enforcement efforts to investigate and identify perpetrators,"" McMahon told The Post. Attorney General Letitia James also suggested last year she would like to see the laws addressed. The efforts still face opposition from lefty pols in the legislature and groups like the NYCLU, which recently argued ""puts New Yorkers' health and safety at risk"" and ""opens the floodgates for selective and racially-biased enforcement"". What do you think? Be the first to comment. Skoufis and Dinowitz's bill is also supported by anti-hate groups such as the NAACP and National Urban League and Anti-Defamation League. New York's original mask ban was scrapped during the onset of the pandemic in 2020 out of concerns it could inhibit public health efforts encouraging people to mask up. The provision had been adopted over a century earlier amid anti-rent protests, but was later used to go after the Ku Klux Klan.",lean right
