Title,cleaned_text,Bias
"Marketers lost billions to NNPC, Dangote’s fuel price reduction – PETROAN pushes for 6-month stability plan",petroleum product retail outlet owner associ said petrol market lost billion due downward review fuel price nigerian nation petroleum compani limit dangot refineri petroan spokesman joseph obel disclos monday comment need healthi competit price stabil within nigeria petroleum downstream sector recal last week monday nnpc drop retail petrol price n n per litr n n lago abuja respect nnpc petrol price drop follow dangot refineri retail fuel price reduct n n per litr across retail partner develop spark fresh price war nnpcl dangot refineri react fluctuat price instabl petroan recommend sixmonth price stabil mechan petroan firmli commit petroleum industri stakehold forum stand firm advoc healthi competit full liberalis price stabil downstream sector urgent urg nmdpra quickli swing action ensur fair price believ work togeth industri stakehold govern consum creat vibrant competit market benefit everyon averag citizen sudden spike fuel price lead financi strain uncertainti associ stress sudden downward review price result massiv loss affect count loss billion naira situat pose signific fear invest sector investor wari unpredict market condit moreov threat price fluctuat affect busi boom sector definit lead retrench farreach consequ includ job loss econom instabl address challeng petroan propos regulatori author establish mechan encourag price stabil least six month approach help reduc uncertainti risk associ invest sector ultim promot econom develop protect interest consum nigerian petroan back healthi competit fuel import also petroan back healthi competit within nigeria petroleum downstream sector accord petroan advoc multipl suppli sourc includ dangot refineri nnpc refineri modular refineri import foster competit downstream sector due consult key stakehold player petroleum sector petroleum product retail outlet owner associ nigeria petroan taken firm stanc promot healthi competit control price fluctuat downstream sector effect petroan advoc import prevent monopoli ensur local refineri thrive given signific econom benefit countri import healthi competit healthi competit essenti foster innov improv servic deliveri ensur consum access afford product competit thrive lead better choic consum ultim contribut econom growth petroan firmli believ competit downstream sector benefici necessari achiev petroan advoc multipl suppli sourc includ dangot refineri nnpc refineri modular refineri import divers rang sourc foster competit especi import allow comparison intern market price protect local market exploit advoc polici dismantl barrier entri new player promot fair practic among exist compani ensur singl entiti domin market detriment consum statement read recal nation bureau statist said petrol import surg percent n trillion impact local refineri dangot refineri httpsdailypostngdangoterefinerysuffersasnigeriaspetrolimportjumpstontn,Center
UEFA to make Champions League change as Arsenal clash with Real Madrid,uefa like make major rule chang ahead next season champion leagu season team leagu phase introduc revamp format saw side rank group rather separ one top eight club progress straight last next team face playoff spot next round current rule stipul team top eight guarante play second leg last match home howev rule appli get quarterfin semifin critic fact arsen play second leg clash real madrid bernabeu gunner finish third leagu tabl madrid end th accord daili mail uefa deliber whether chang next season claim grow belief cede second leg last match enough reward club star leagu phase,Center
"The Rohit Sharma conundrum: Eye on the prize, ear on the future",timesofindiacom dubai macha come five minut na harshit rana plead washington sundar join team player short game footvolley dubai intern stadium sundar offspinn laze around green sip coconut water mood becom replac virat kohli left team midway game join head coach gautam gambhir captain rohit sharma discuss near play squarego beyond boundari youtub channel subscrib nowth three stood made plan sunday nearli minut hand gestur rohit shadow bat kohli point differ area field suggest plenti plan made long light field drill took mean intens outing unforgiv sun entir bunch got feel afternoon brief team meet star sign wait fan everyon made way back team hotelth eve match howev wasnt brief affair captain vicecaptain shubman gill two didnt travel rest team stadium instead sweat intern cricket council icc academi morn hour bat coach sitanshu kotak assist coach abhishek nayar throwdown specialist compani open train around hour join rest team even rumour mill work overtim futur india captain rohit eye prize icc odi titlether lot purpos movement discuss practic session march unfinish busi men blue part novemb heartbreak vs australia march fixtur new zealand champion trophi present opportun age superstar last leg respect career add icc winner medal cabinet eye present ear firmli plant futur toomoham shami ravindra jadeja kohli rohit get younger could well last time quartet featur togeth icc odi tournament next world cup still coupl year away sound like stretch stagekohli rohit jadeja announc retir ti world cup win could decis announc store champion trophi conclud sunday india make roadmap world cup start immedi champion trophi tough call need taken time initi transit odi ideal could well depend outcom champion trophi final vicecaptain gill whose elev step transit direct assert discuss chang room final clash vs black cap remain centr attent stageno sir till discuss win match win champion trophi spoken team decis dont think rohit think say gill prematch press conferencewillhewonth repeat statement sinc multin tournament got underway dubai chatter grew louder eve titl clash extra attent movement routin saturday captain eye firmli lock prize icc champion trophi,Lean Right
"5 Sixers thoughts: Key veterans set for workload reductions, young players emerging and more",today monday mean anoth edit sixer thought order fresh batch sixer storylin observ worth keep mind month left regular season nick nurs say key veteran minut monitor nurs known aggress best player workload even becam head coach sixer team season devolv acknowledg sunday win utah jazz would look monitor minut key veteran move forward ensur overwork guerschon yabusel seem player nurs intent provid relief nurs yabusel talk yearold ga occas dealt injuri sinc allstar break yabusel start half sunday game never return game brief stint nurs said game plan necessarili yabusel play minut strong indic someon nurs feel need play ton next month chang anoth player appear understand role scale back move forward kelli oubr jr lead sixer total minut season one core piec team bring consist admir energi floor night night oubr minut scale back bit first half sunday never return game first five half minut action third quarter nurs also threw quentin grime basket though yearold less mileag possibl data uncov sixer would sure look much knowledg grime handl onbal duti everyth come get set make push keep around longterm restrict free agenc summer dive grime emerg scorer ballhandl sixer kyle lowri feel lot better could make return sunday mark one month sinc lowri last appear due right hip injuri manag issu hip held signific portion season lowri turn year old march three separ extend absenc season stem right hip ailment becom lost season sixer seem farfetch futur hall fame candid would return game end season particularli nurs aforement comment howev nurs provid optimist updat lowri sunday game talk liter five minut ago nurs said said he feel lot better wont play tonight tomorrow well look check complet homeroad backtoback monday atlanta sixer head toronto game wednesday night obviou reason would probabl signific mean lowri play raptor contest especi futur beyond season still determin adem bona shine win jazz bona best game short nba career far sunday minut bench rooki secondround pick total point rebound eight offens board five block two steal far away encourag statist line though two person foul never doubt bona collect swat shot make highlight play short burst gargantuan foul rate prevent play extend stretch ideal bona game energet shotblock rimrun everyth clear vision possibl backup center futur nurs extrem high prais bona postgam press confer realli super good version tonight think he bounci run kind settl game right start he good nurs said everi seem get go littl fast track ball night thought block guy shot help teammat well good glass seven offens rebound realli probabl around anoth seven realli put pressur rim love rim protect think seem like five block seem like eight nine nurs prais bona continu protect rim guy saw got switch onto guard lot great job know player guard press give three send next helpsid guy whatev nurs said good job went chase behind he know super athlet see facet he got quick jump abil use tonight bona take ownership sixer basketbal onboard process jare butler find rhythm extend run vs utah like bona butler play game absolut optim version player entail athlet feat domin bona butler mean play classic tradit game point guard addit connect three help break shoot slump butler began master driveandkick game give teammat ampl opportun score playmak great nurs said realli play part pickandrol hit roll guy swing weak side open shot get slot guy open shot mean realli realli look good pickand roll player tonight thought gave us ton catchandshoot opportun stuff rim strong final monthplu butler chanc earn spot next year sixer team potenti even challeng backend rotat role sixer made rare move trade twoway player acquir butler washington wizard last month convert standard deal shortli thereaft primarili old school skillset floor gener alex rees talk evolut learn two new team rees stretch four ink twoway deal sixer last month got first true rotat minut team sunday yearold alabama product acquaint nice score six point shoot grab nine rebound collect three steal minut minut us he play hard he effect nurs said game he realli tough rebound goe rebound he snatch kind command ball obvious he afraid shoot perimet game rees spoke phillyvoic evolut belowaverag threepoint shooter colleg one prolif sniper g leagu acclim process sinc join organ rees adjust period gotten use two new locker room coach staff team environ sixer delawar blue coat good place delawar team welcom theyv taught lot far point right direct dont know know either court court go stuff like im enjoy grate rees extend talk nurs need earn minut sixer havent realli indepth convers want know need knock shot get game play role play good defens help best rees process led massiv breakout shooter rees made percent longrang tri g leagu season nine attempt per game tuscaloosa coach nate oat gave freedom shoot whenev open take good shot sometim question shot think work differencemak work back home took year get much work peopl alabama hoop agent got good situat summertim take lot work kj martin talk trade reflect time philadelphia follow adam twitter sixersadam follow phillyvoic twitter thephillyvoic,Lean Left
The Week contest: Soundproof web,subscrib save less per week view profil explain talk point week recommend newslett magazin week junior food drink person financ categori newslett sign puzzl quizz week contest soundproof web newslett sign imag credit markbreck getti imag week us april week question research discov funnelweb spider busi urban area weav soundproof web allow eat prey peac compani manufactur scaledup funnel web nois phobic human name give product click see result last week contest marriag pound enter submiss email contesttheweekcom pleas includ name address daytim telephon number verif week pleas type soundproof web subject line entri due noon eastern time tuesday april winner appear puzzl page april issu theweekcomcontest april case ident similar entri first one receiv get credit entri becom properti week subscrib week escap echo chamber get fact behind news plu analysi multipl perspect subscrib save sign week free newslett morn news brief weekli good news newslett get best week deliv directli inbox morn news brief weekli good news newslett get best week deliv directli inbox winner get oneyear subscript week sign today best articl inbox free daili email biggest news stori day best featur theweekcom contact news offer futur brandsrec email us behalf trust partner sponsorsbi submit inform agre term condit privaci polici age week us social link navig dream home chef kitchen featur hous two kitchen island utah kitchen stove nook new york byth week us publish april dvt know blood clot plagu nba player explain multipl player diagnos deep vein thrombosi past month bytheara coleman week us publish april elon musk doge job come end today big question plummet popular sting elector defeat tesla shrink market share could pull tech billionair trump presidenti orbit byrafi schwartz week us publish april might also like quiz week march pay attent week news byth week staff publish march magazin solut april puzzl quizz issu april byth week staff publish march magazin printabl april puzzl quizz issu april byth week staff publish march week contest marriag pound puzzl quizz byth week us last updat april quiz week march pay attent week news byth week staff publish march week contest bird battl puzzl quizz byth week us publish march magazin solut march issu march byth week us publish march magazin printabl march issu march byth week us publish march view contact futur expert term condit privaci polici cooki polici advertis us week part futur us inc intern media group lead digit publish visit corpor site futur us inc full th floor west nd street,Lean Left
Top Democrats ask Rubio for answers on now-cancelled $400 million Tesla plan,two top congression democrat foreign polici matter press secretari state marco rubio friday nowcancel effort purchas million worth armor electr vehicl made tesla letter cite recent report trump administr move acquir million tesla us rep gregori meek new york rank member hous committe foreign relat jare moskowitz florida who top democrat committe oversight subcommitte said plan repres seriou violat feder procur law would unlaw enrich mr musk billionair tech mogul serv top offici white hous earlier week democrat sen richard blumenth connecticut also wrote rubio letter demand detail plan purchas tesla last month state depart spokesperson told million figur estim plan move forward purchas spokesperson said plan begin studi viabil use tesla armor vehicl first start biden administr document biden white hous obtain show state depart plan spend electr vehicl acquisit less million estim expenditur first show spreadsheet expect state depart contract report first circul spreadsheet item state offici edit document say award armor electr vehicl armor tesla lawmak home letter rubio friday rais seriou question whether depart scrub document remov refer tesla also may backdat publicli avail document give fals impress everi element procur plan includ million valu origin prior administr wrote democrat congressmen state depart musk return request comment lawmak ask rubio state depart offici intent chang electr vehicl purchas amount million oversaw chang proof contract definit abandon biden administr document obtain appear show push govern buy million tesla start trump exactli put item spreadsheet whose direct remain unclear,Lean Left
Report: Former Eagles WR Parris Campbell agrees to terms with the Cowboys,accord report espn former philadelphia eagl wide receiv parri campbel sign oneyear contract dalla cowboy campbel eagl roster season finish catch yard td receiv stat playoff though team trust activ playoff gameday roster rooki ainia smith campbel yearbyyear stat campbel blaze nfl combin fast player oddli low yard per catch averag career last two season almost imposs low yard per catch recept cowboy reportedli interest cooper kupp ultim sign seahawk campbel probabl wont excit fan base consol prize pretti safe bet campbel get contract lucr enough qualifi toward comp pick formula follow jimmi phillyvoic twitter jimmykempski thephillyvoic like us facebook phillyvoic sport add jimmi rss feed feed reader,Lean Left
Report: Eagles CB Isaiah Rodgers agrees to terms with the Minnesota Vikings,accord report espn philadelphia eagl cb isaiah rodger agre term minnesota vike twoyear deal worth million june rodger suspend entireti season violat nfl polici gambl subsequ releas colt good reason pure stash move eagl sign rodger august reinstat nfl april look good eagl spring practic beaten start job train camp quinyon mitchel realli mitchel realli good otherwis rodger perhap could capabl cb team primari backup outsid corner appear game three start play snap regular defens regular season playoff finish tackl forc fumbl four pass breakup also forc action playoff mitchel got hurt ram four playoff game six tackl fumbl recoveri return yard three pass breakup also averag yard per return kick return long return yard rodger slot corner size mainli play outsid colt eagl speed run wide receiv nfl eagl reportedli intend releas veteran cb dariu slay though there still chanc slay could return team eagl lose rodger slay kele ringo would inhous favorit land cb job play outsid alongsid mitchel cooper dejean follow jimmi phillyvoic twitter jimmykempski thephillyvoic like us facebook phillyvoic sport add jimmi rss feed feed reader,Lean Left
Police rescue 2 kidnapped FULafia students,nasarawa state polic command confirm personnel rescu two student feder univers lafia fulafia abduct resid dailypost report night decemb gunmen invad offcampu student accommod gandu commun hub hous student near univers initi report indic approxim student kidnap attack follow abduct student organis protest demand uncondit releas peer call enhanc secur measur around univers environ statement polic public relat offic sp ramhan nansel kidnapp storm student lodg behind nasara estat tudun kauri lafia took student captiv follow commission polic shetima jauro moham order immedi action swiftli mobilis oper antikidnap unit track perpetr led rescu oper involv exchang gunfir kidnapp polic personnel result kidnapp abandon victim flee differ direct polic arrest suspect ibrahim musa abuni villag awe local govern area current assist ongo investig commend oper braveri commission jauro reassur resid polic command dedic combat crime urg offic remain vigil mission maintain secur across state decemb feder univers lafia fulafia nasarawa state experienc seri student abduct rais signific concern secur area,Center
What's Lost When the Human Drivers Are Gone?,follow michael calor blueski snackfight lauren good blueski laurengood aarian marshal blueski aarianmarshal write us uncannyvalleywiredcom listen alway listen week podcast audio player page want subscrib free get everi episod here your iphon ipad open app call podcast tap link also download app like overcast pocket cast search uncanni valley spotifi note autom transcript may contain error michael calor lauren would like introduc guest lauren good thought go old lauren mike lauren would happi introduc guest zoe today she around she busi excit welcom place aarian marshal aarian staff writer wire cover thing transport there lot go transport day aarian great aarian marshal great michael calor didnt fli airplan san francisco join us aarian marshal didnt fli airplan san francisco join that cond nast budget right lauren good live new york aarian marshal im month michael calor waymo new york citi aarian marshal waymo sort selfdriv car think new york citi kind final boss selfdriv car far away final boss mayb one day michael calor well that topic week that bring lot report lauren mention differ selfdriv car robotaxi driverless vehicl autonom vehicl lauren good plane train automobil ebik everyth wheel michael calor well excit today aarian go talk race flood street selfdriv car well consid pro con share road robotaxi talk compani deal peski safeti regul well also examin end game tech compani build selfdriv car well imagin futur look like driverless car becom fulli mainstream wire uncanni valley show peopl power influenc silicon valley im michael calor director consum tech cultur wire lauren good im lauren good im senior writer wire aarian marshal im aarian marshal im staff writer wire michael calor let put name board start lauren good cybertruck michael calor hope wont talk cybertruck whole lot week lauren good third show row think let skip one michael calor keep bring big player selfdriv car talk autonom vehicl big name name aarian marshal id say biggest name selfdriv car waymo googl sister compani fact use googl selfdriv car project think everyon know waymo lead right selfdriv car oper paid taxi servic paid driverless taxi servic phoenix san francisco lo angel month austin texa conjunct uber right actual get uber austin tri order selfdriv car big deal lauren good that time south southwest presum michael calor probabl aarian marshal exactli soon oper atlanta next year miami lot citi theyr oper michael calor lauren first waymo ride ever lauren good birthday michael calor yeah affirm lauren good oh realli first one michael calor first time ever rode one lauren good super fun took way cow hollow someth took hill realli experi feel careen hill san francisco put live hand michael calor absolut everywher dont live san francisco dont visit bay area often know ton waymo street youll get youll see one your like hey look there nobodi behind wheel car go road mile hour youll pull phone youll take pictur shoot video show friend within next five minut youll see anoth lauren good youll see drive side side road stuff almost like tesla model point michael calor ye certain part citi dont go dont go freeway yet lauren good go airport aarian might know go san francisco airport aarian marshal dont go san francisco airport yet test highway actual permiss state oper paid servic highway dont quit yet michael calor aarian experi waymo aarian marshal funni thing wire first hire cover selfdriv car didnt driver licens recent thought would ador someon couldnt drive write selfdriv car probabl bad idea first experi selfdriv car back cruis real scaredycat would break hard whenev saw someon sidewalk mayb look might cross street even middl street crosswalk kind unpleas experi rememb feel littl ill sinc ive taken lot realli impress ride waymo cruis countri think recent took ride arizona great except one interest experi drive next dog park dog run full tilt ball toward fenc dog park clearli car didnt realiz fenc dog park brake realli realli hard someon behind us probabl wouldv gotten rearend doesnt kind human intellig abl say oh dog dog park theyr go run ahead there fenc way theyr go scale fenc somehow get ball interest experi gener theyv pleasant recommend michael calor waymo love dont theyr everywher els talk aarian marshal player zoox actual own amazon test san francisco foster citi peninsula theyr test la vega seattl austin miami say theyr actual go launch paid servic final la vega later year purposebuilt littl mint green toaster look thing realli look differ car road wherea waymo oper real car actual steer wheel zoox look like noth youv ever seen road thatll cool happen big player id say tesla kind big question mark selfdriv tesla advanc driver assist featur call full selfdriv theyv full selfdriv doesnt actual selfdriv help peopl navig certain situat alway say despit brand keep eye road elon musk promis soon case say june theyr go launch total selfdriv robotaxi servic austin texa theyr also go california point year id say peopl skeptic timelin that elon said go happen lauren good im go ask question might kind dumb selfdriv vehicl roll major citi first suburb aarian marshal dumb question actual big controversi selfdriv car first start oper robotaxi there compani kind doesnt exist call cruis acquir gener motor oper robotaxi servic start san francisco theori want start know lot peopl take uber there high demand taxi servic there lot peopl lot densiti want tri hardest thing first want make sure deal crazi san francisco waymo differ strategi first launch phoenix arizona metro phoenix arizona bit suburban decid want kind slightli easier thing first clear road sign think point becom clear best busi case robotaxi go peopl need taxi peopl need taxi time that citi michael calor aarian compani use differ technolog find way around cityscap tell us littl bit differ theyr similar aarian marshal feel like theyr kind two big school thought tesla versu everyon els gener selfdriv car work place ton sensor car use sensor includ camera radar lidar car understand space addit selfdriv car compani creat detail highdefinit map place theyr go oper car also map help get around tesla doesnt think need havent done intens map weve seen compani big differenti dont think need lidar think creat selfdriv car mostli total camerabas system realli like idea cheaper lidar actual come lot price past decad still kind expens put everi car especi tesla vision everi tesla road right eventu becom selfdriv car sell everi tesla right lidar would realli lot expens think camera lauren good much singl waymo car cost jaguar right aarian marshal dont firm answer waymo someth talk publicli analysi bank call citizen jmp number crunch last year assum waymo cost hardwar year oper said base figur waymo would gener annual revenu per car san francisco specif that base jaguar said waymo also littl purpos built robotaxi come theyr actual test san francisco right chines compani call zeekr might chang number bit backtheenvelop math far lauren good that surpris wouldnt think theyr make money michael calor well cost take trip sometim lauren good dont tip aarian marshal say pretti robust revenu percar unit basi factor theyr pay peopl call center answer phone relat waymo infrastructur lobbi influenc regul differ citi state feder level sure either sure total math interest say make pretti robust revenu percar unit basi michael calor well thank overview let take quick break well come right back welcom back uncanni valley let talk go road recept like think start passeng peopl like robotaxi like ride ride like share road theyr drive car next one aarian marshal wire actual fun report summer chase robotaxi orneri talk uber driver crazi day end talk lot peopl get waymo thought kind best way us organ find waymo passeng lauren good clear group wire report hop regular car driven uber driver drive group around chase waymo aarian marshal correct ye also supplementari chase car logist someon hq watch everyon map realli amaz oper talk peopl come car peopl tend love id say one dynam interest san francisco least seem like lot tourist peopl would trip san francisco would show like oh god didnt know mani thing around talk peopl take part everyday live talk woman go get nail done big theme peopl like love im alon dont talk driver dont sort awkward interact make littl bit uncomfort driver someon kind worri technolog chang relationship peopl ive spent time think whether that good make feel littl bit yucki think lot peopl women particular realli bad experi taxi driver understand kind feel relief dont worri time ive lot sort love serendipit convers taxi driver uber driver would sad exist world doesnt happen say peopl love peopl love alon littl tube road that kind interest lauren good incid vandal happen seen peopl kind act around saw person carri jacket walk street waymo drive slowli turn corner person whip jacket waymo obvious noth express kind displeasur robot overtak street michael calor tri hurt stuff ive seen passeng road mostli sort civil disobedi peopl jump front waymo stop look sit car back seat somebodi jump look make face wag finger silli tri express displeasur chosen mode transport cours safe street activist realli fun thing would put traffic cone hood selfdriv car earli day compani figur peopl could would confus car would stop lauren good would stop michael calor would think someth hood would like oh cant move lauren good theyr smart theyr aarian marshal mike probabl know better us ive heard lot bicycl commut particular love drive next waymo drive predict way theyr polit bicycl theyr never go pull window spit curs someth human driver bike rider sometim said time mass peopl attack waymo one incid chinatown crowd set one fire there definit backlash citi sure would honestli expect continu realli disconcert peopl littl pokey driver frustrat sometim theyr aggress yellow light stuff like situat waymo cruis oper realli froze middl street someth still happen sometim freez disturb your traffic suddenli car front isnt move there kind noth driven robot human michael calor honk peopl honk lauren good noth happen michael calor endlessli amus lauren good there nobodi there driver respond way waymo like starbuck electr vehicl get one alway know your go get everi car smell drive pretti much exactli there sort dont know almost like dilut experi think starbuck dont think way drink starbuck great dont think place necessarili commun your necessarili humantohuman interact your get get that kind get waymo feel like rel get taxi michael calor bu matter lauren good right bu train michael calor im curiou citi govern respond citi welcom selfdriv car want come oper town push back set special rule aarian marshal realli depend citi someth autonom vehicl industri complain year year countri realli patchwork regul selfdriv car differ state state citi state preempt citi term regul think texa exampl kind like hotb autonom vehicl action right part reason citi dont power say texa basic said want come oper selfdriv car servic go ahead think great realli disturb citi govern citi resid say hey happen road live children famili would like input thing oper california exampl also rest power away citi san francisco particular doesnt actual power waymo zoox oper california robust multistep rollout process selfdriv car publish fair amount public data selfdriv car includ accid report someth goe releas publicli gener feel like selfdriv car compani gotten much savvier realli spend time engag citi leader law enforc includ polic fire depart make sure even dont give entiti specif inform kind go way make friend know go better friend citi hall lauren good coupl major incid selfdriv car one wire written extens aarian tell us aarian marshal first notori id say incid happen selfdriv car player longer selfdriv car uber gosh number year ago car hit woman cross highway ramp kill realli horribl situat later reveal technolog wasnt quit work way woman push bike foot bike number bag technolog wasnt abl tell ride bike move bike human wasnt abl break time wire great featur stori lauren smiley your interest incid person oper selfdriv car sort woman gone person would say realli contribut uber decis get selfdriv car game period dont develop technolog anymor theyr work waymo allow waymo deploy network first big terribl incid one someth happen octob compani call cruis own gener motor incid actual selfdriv car wasnt realli fault human driven car drive market street san francisco hit passeng foot threw woman path cruis also hit woman human hit person still larg hitandrun weve never figur hurt person serious injur came gosh month later realli upset regul california feder level turn cruis vehicl sort train pull side road get traffic didnt creat hazard middl road actual drag pedestrian feet still attach car wasnt reveal regul led cruis lose permit oper california never recov michael calor havent report incid yet waymo car right aarian marshal far waymo involv fatal crash involv crash hurt peopl noth that kill someon far mani peopl talk say inevit waymo involv kind crash realiti road system countri peopl die road respond happen michael calor someth alway end talk whenev hear incid selfdriv car harm human road cost human driver harm peopl road propon selfdriv car often argu selfdriv car harm mani fewer peopl human driver aggreg road therefor safer even horrif thing happen isnt right aarian marshal dont specif number front know sever studi note gener put compani show car get less seriou safeti incid humandriven car alway say robotaxi doesnt drink go fall asleep road that good news talk research look stuff clear simpli enough data know that case car lot trip theyr trip everi day simpli equal huge number trip see human driver take everi day mani million mile drive hard compar kind compar appl orang point lauren good aarian terribl stori mention case human driver somehow involv come human driver im wonder impact waymo rollout broader zoox rollout human driver make live drive taxi aarian marshal realli great question think someth that realli adequ answer ask uber ask waymo ask lyft tell that go happen realli long time futur next decad look like robot work alongsid human driver alway say selfdriv car exampl new york citi go realli long time robot abl deal absolut banana road think itll long time happen would encourag peopl ask policymak think goe along sort technolog look contribut autom happen peopl job futur look like dont think realli know michael calor everi time climb uber ask driver feel selfdriv car road lauren good say michael calor answer wildli differ driver dont want talk theyr like whatev fine driver either enthusiast selfdriv car one say theyr good citizen road peopl like take peopl want alon allow alon that fine notic recent option uber app choos convers driver feel like your type person would rather alon car want take uber waymo oper citi choic feel like respons desir want talk peopl your car lauren good feel littl bit darker take waymo explicitli talk human michael calor super awkward lauren good tap someth app let person know who give lift michael calor dont talk lauren good dont talk realli michael calor your go reason respect lauren good fair enough michael calor well anyway let take anoth quick break well come right back aarian said far selfdriv car take road matter im curiou thought andor balanc go tip go wind citi place selfdriv car selfdriv vehicl road humandriven vehicl aarian marshal frankli kind idea say wouldnt surpris outsid unit state us peopl like drive feel import part ident person liberti wouldnt surpris see exampl somewher middl east wouldnt surpris see happen there central power govern kind say one day humandriven car anymor start soon go forth wouldnt shock think littl way away michael calor go happen bu aarian marshal great question michael calor love buse lauren good mean capit flow privat run compani take road actual mean there less fund go public transit michael calor also think peopl activ govern right unit state look amount money spend basic ineffici dirti difficult manag bu system think money could better put toward autom system aarian marshal also one obsess mike say weve sort seen idea trial quit work context uber driver weve seen citi govern say hey run bu system pain butt dont ondemand uber come pick peopl home take want go isnt effici wont save us money end citi tri run budget extrem quickli peopl realli pick home drop exactli want go effici one bodi case two bodi driver dont realli count car take x amount space road ton car flood one time theyr realli cheap there driver pay cost alreadi bake get ton traffic mean that weve seen uber weve seen citi brought uber uber lyft first came said hey go actual get rid traffic everyon go abl sell car turn wasnt way work peopl didnt sell car use uber lyft kind oneoff trip fact peopl bought car could drive uber lyft actual end traffic citi think that kind big fear lauren good one thing havent realli talk freight truck compani like uber make invest seem back away still compani think kodiak one texa pretti interest make autonom ship thing aarian stand aarian marshal still exist theyr work lot happen texa lack regul that happen theyr work peopl see great promis technolog test everywher california atlanta georgia mostli highway say feel lot riskier govern freak someth goe wrong waymo that travel street san francisco mile per hour freez realli annoy everyon end world someth goe wrong truck that carri pound good travel mile per hour highway could realli bad lot compani work fix see freight kind lifeblood mani place economi there huge upsid taken littl think notabl waymo exampl pull truck oper longer work truck clearli dont think worth michael calor well bring good point signific regulatori barrier selfdriv truck highway less signific regulatori barrier selfdriv car citi street im curiou big player far regul go know citi mostli oper independ your talk highway your talk differ regulatori bodi aarian marshal id say big thing watch right dont know youv heard guy call elon musk first buddi unit state right michael calor tell us lauren good he regular podcast aarian marshal elon musk said prior trump take offic realli want priorit autonom vehicl regul gener feder govern taken pretti slow handsoff approach regul there possibl could put sort regul would probabl pass law congress someth see lot late know could preempt rule go state dont think that slam dunk gener state depart motor vehicl regul state gener autonom vehicl regul dmv theyr kind cling power way that someth autonom vehicl industri realli want one rule everyon everyon go process doesnt matter your new york citi peoria omaha michael calor nice lauren keep eye space thing your look selfdriv car want see chang get better go away lauren good go away dont want go away think would like see realli smart predict economist cours alway right none us alway right actual mean labor market mean driver that first thing second thing highway drive think becom mainstream safe probabl one thing would make give car yet terrifi citi street idea go mile per hour selfdriv car fact littl terrifi seem like threshold keep eye michael calor thing keep think human leav hous call car take somewher person show car get car talk person interact person way mayb best interact mayb posit interact either way human rub littl bit likewis drive car like ride bike your road your share road human be gener mood foul mood hurri theyr drive realli fast pleasant interact unpleas interact long dont get hurt theyr harmless your interact human be human rub world your get car there human car world your go onto road mostli nonhuman car road feel like lose lot human interact reli keep us human keep us normal peopl know interact feel like would sort increas feel isol loneli lack commun lot thing caus lot problem societi dont human public space lauren good fact talk much think podcast gener mean human mean weve alreadi lost someth aarian keep eye term futur selfdriv aarian marshal stuff im realli interest term futur selfdriv pretti nerdi someth come lot talk research think car real opportun total chang way citi work better wors sort hell situat ride cheap everyon take selfdriv car everywher spend rest live trap endless gridlock sleep pee work littl pod like wall that horrifi prevent weve rent regul actual think selfdriv car present realli interest opportun realli think robustli want citi look like want street look like want street design thing go come chang everyth mayb make chang everyth better mayb place selfdriv car oper car allow citi everywher els peopl walk bike lot place peopl hang outsid theyr third place peopl feel comfort hang dont spend money think selfdriv car could realli interest catalyst lot great citi chang could also terribl im hope great scenario michael calor agre hope lead big beauti robust free public transit system everi major citi america aarian marshal amen michael calor thank listen uncanni valley youd like heard today make sure follow show rate podcast app choic youd like get touch us question comment show suggest write us uncannyvalleywiredcom want thank aarian marshal join us week zo schiffer back next week im told bring us cooki today show produc kyana moghadam amar lal macrosound mix episod matt gile fact check episod jordan bell execut produc kati drummond wire global editori director chri bannon head global audio,Lean Left
